Year,Actor,Film
2020,Maria Bakalova,Borat Subsequent Moviefilm
2020,Glenn Close,Hillbilly Elegy
2020,Olivia Colman,The Father
2020,Youn Yuh-jung ,Minari
2020,Helena Zengel,News of the World
