Year,Actor,Film
2020,Sacha Baron Cohen,The Trial of the Chicago 7
2020,Chadwick Boseman,Da 5 Bloods
2020,Daniel Kaluuya,Judas and the Black Messiah
2020,Jared Leto,The Little Things
2020,Leslie Odom Jr.,One Night in Miami
