Year,Actor,Film
2020,Riz Ahmed,Sound of Metal
2020,Chadwick Boseman,Ma Rainey's Black Bottom
2020,Adarsh Gourav,The White Tiger
2020,Anthony Hopkins,The Father
2020,Mads Mikkelsen,Another Round
2020,Tahar Rahim,The Mauritanian
