Year,Actor,Film
2020,Chadwick Boseman,Ma Rainey's Black Bottom
2020,Riz Ahmed,Sound of Metal
2020,Anthony Hopkins,The Father
2020,Gary Oldman,Mank
2020,Tahar Rahim,The Mauritanian
2020,Sacha Baron Cohen,Borat Subsequent Moviefilm
2020,James Corden,The Prom
2020,Lin-Manuel Miranda,Hamilton
2020,Dev Patel,The Personal History of David Copperfield
2020,Andy Samberg,Palm Springs
