Year,Actor,Film
2020,Maria Bakalova,Borat Subsequent Moviefilm
2020,Ellen Burstyn,Pieces of a Woman
2020,Glenn Close,Hillbilly Elegy
2020,Olivia Colman,The Father
2020,Amanda Seyfried,Mank
2020,Youn Yuh-jung ,Minari
