Year,Actor,Film
2020,Niamh Algar,Calm with Horses
2020,Kosar Ali,Rocks
2020,Maria Bakalova,Borat Subsequent Moviefilm
2020,Dominique Fishback,Judas and the Black Messiah
2020,Ashley Madekwe,County Lines
2020,Youn Yuh-jung ,Minari
