Year,Actor,Film
2020,Amy Adams,Hillbilly Elegy
2020,Viola Davis,Ma Rainey's Black Bottom
2020,Vanessa Kirby,Pieces of a Woman
2020,Frances McDormand,Nomadland
2020,Carey Mulligan,Promising Young Woman
