Year,Actor,Film
2020,Bukky Bakray,Rocks
2020,Radha Blank,The Forty-Year-Old Version
2020,Vanessa Kirby,Pieces of a Woman
2020,Frances McDormand,Nomadland
2020,Wunmi Mosaku,His House
2020,Alfre Woodard,Clemency
