Year,Film
2010,Inception 
2010,Alice in Wonderland 
2010,Black Swan 
2010,The King's Speech 
2010,True Grit 
2011,Hugo 
2011,The Artist 
2011,Harry Potter and the Deathly Hallows - Part 2 
2011,Tinker Tailor Soldier Spy 
2011,War Horse 
2012,Les Misérables 
2012,Anna Karenina 
2012,Life of Pi 
2012,Lincoln 
2012,Skyfall 
2013,The Great Gatsby 
2013,12 Years a Slave 
2013,American Hustle 
2013,Behind the Candelabra 
2013,Gravity 
2014,The Grand Budapest Hotel 
2014,Big Eyes 
2014,The Imitation Game 
2014,Interstellar 
2014,Mr. Turner 
2015,Mad Max: Fury Road 
2015,Bridge of Spies 
2015,Carol 
2015,The Martian 
2015,Star Wars: The Force Awakens 
2016,Fantastic Beasts and Where to Find Them 
2016,Doctor Strange 
2016,"Hail, Caesar! "
2016,La La Land 
2016,Nocturnal Animals 
2017,The Shape of Water 
2017,Beauty and the Beast 
2017,Blade Runner 2049 
2017,Darkest Hour 
2017,Dunkirk 
2018,The Favourite 
2018,Fantastic Beasts: The Crimes of Grindelwald 
2018,First Man 
2018,Mary Poppins Returns 
2018,Roma 
2019,1917 
2019,The Irishman 
2019,Jojo Rabbit 
2019,Joker 
2019,Once Upon a Time in Hollywood 
