Year,Actor,Film
2020,Andra Day,The United States vs. Billie Holiday
2020,Viola Davis,Ma Rainey's Black Bottom
2020,Vanessa Kirby,Pieces of a Woman
2020,Frances McDormand,Nomadland
2020,Carey Mulligan,Promising Young Woman
2020,Rosamund Pike,I Care a Lot
2020,Maria Bakalova,Borat Subsequent Moviefilm
2020,Kate Hudson,Music
2020,Michelle Pfeiffer,French Exit
2020,Anya Taylor-Joy,Emma
