Year,Actor,Film
2020,Riz Ahmed,Sound of Metal
2020,Chadwick Boseman,Ma Rainey's Black Bottom
2020,Anthony Hopkins,The Father
2020,Gary Oldman,Mank
2020,Steven Yeun,Minari
