Year,Song,Film
2020,Io sì,The Life Ahead
2020,Fight for You,Judas and the Black Messiah
2020,Hear My Voice,The Trial of the Chicago 7
2020,Speak Now,One Night in Miami
2020,Tigress & Tweed,The United States vs. Billie Holiday
