Year,Song,Film
2020,Everybody Cries,The Outpost
2020,Fight for You,Judas and the Black Messiah
2020,Husavik,Eurovision Song Contest: The Story of Fire Saga
2020,Io sì,The Life Ahead
2020,Speak Now,One Night in Miami
2020,Tigress & Tweed,The United States vs. Billie Holiday
